method,budget_fraction,median,q25,q75
ACO,0.0,5.482661090225104,0.9853847945367561,11.62566425616616
ACO,0.03333333333333333,0.37289880331628245,0.0,1.2289065714482108
ACO,0.06666666666666667,0.10898308021924462,0.0,0.5103336127180369
ACO,0.1,0.003857017662252671,0.0,0.32128858358461976
ACO,0.13333333333333333,1.626131901538554e-14,0.0,0.25065554293433684
ACO,0.16666666666666666,6.02765486493734e-15,0.0,0.25064967480993633
ACO,0.2,6.02765486493734e-15,0.0,0.19267545866462873
ACO,0.23333333333333334,6.02765486493734e-15,0.0,0.1785993301239435
ACO,0.26666666666666666,6.02765486493734e-15,0.0,0.11606560717907266
ACO,0.3,6.02765486493734e-15,0.0,0.11606560717907266
ACO,0.3333333333333333,6.02765486493734e-15,0.0,0.11606560717907266
ACO,0.36666666666666664,6.02765486493734e-15,0.0,0.11606560717907266
ACO,0.4,6.02765486493734e-15,0.0,0.11606560717907266
ACO,0.43333333333333335,6.02765486493734e-15,0.0,0.11606560717907266
ACO,0.4666666666666667,6.02765486493734e-15,0.0,0.11606560717907266
ACO,0.5,1.4881753928480207e-15,0.0,0.09639965453245002
ACO,0.5333333333333333,0.0,0.0,0.09509783815431597
ACO,0.5666666666666667,0.0,0.0,0.0937960217761819
ACO,0.6,0.0,0.0,0.05420386602152162
ACO,0.6333333333333333,0.0,0.0,0.05420386602152162
ACO,0.6666666666666666,0.0,0.0,0.05420386602152162
ACO,0.7,0.0,0.0,0.05420386602152162
ACO,0.7333333333333333,0.0,0.0,0.05420386602152162
ACO,0.7666666666666666,0.0,0.0,0.05420386602152162
ACO,0.8,0.0,0.0,0.05420386602152162
ACO,0.8333333333333334,0.0,0.0,0.05420386602152162
ACO,0.8666666666666667,0.0,0.0,0.05420386602152162
ACO,0.9,0.0,0.0,0.05420386602152162
ACO,0.9333333333333333,0.0,0.0,0.05420386602152162
ACO,0.9666666666666667,0.0,0.0,0.05420386602152162
ACO,1.0,0.0,0.0,0.05420386602152162
DE,0.0,39.27904393470699,11.248480591874682,59.37302303304919
DE,0.03333333333333333,22.591533860666473,3.9755536709485417,35.920763257655295
DE,0.06666666666666667,15.665045898192842,1.3770037763865768,27.12598349007595
DE,0.1,11.242579503119039,0.6920234798496439,20.950190041133105
DE,0.13333333333333333,7.331606146773361,0.27451974976363297,17.22280767065417
DE,0.16666666666666666,5.0393401037352525,0.16867609971363928,13.915457556990141
DE,0.2,3.9390707656003614,0.03168991405469246,11.067211010094447
DE,0.23333333333333334,2.935925563486636,0.023789272458179536,8.849414815199722
DE,0.26666666666666666,2.271261954252969,0.01982021508952735,7.203930733081315
DE,0.3,1.5908959201164188,0.018046281697831762,5.900280596192604
DE,0.3333333333333333,1.3710195113577102,0.016726875017609135,4.856236039766969
DE,0.36666666666666664,1.1485227220220722,0.013579135290035892,3.9811719682952007
DE,0.4,0.9307462446380856,0.011874660122012666,3.518346260012748
DE,0.43333333333333335,0.7777155346323517,0.009235846761567416,3.059684531269136
DE,0.4666666666666667,0.5913490533265641,0.009235846761567416,2.6397391487491957
DE,0.5,0.5850210113388803,0.009235846761567416,2.386521053664334
DE,0.5333333333333333,0.5850210113388803,5.384131754969578e-15,2.1993032885649044
DE,0.5666666666666667,0.5850210113388803,5.384131754969578e-15,2.046113303786684
DE,0.6,0.5850210113388803,5.384131754969578e-15,1.8399809427361364
DE,0.6333333333333333,0.5850210113388803,5.384131754969578e-15,1.7073653014455363
DE,0.6666666666666666,0.575832113979496,5.384131754969578e-15,1.525890085693463
DE,0.7,0.5574543192607267,5.384131754969578e-15,1.3627118438687642
DE,0.7333333333333333,0.5574543192607267,5.384131754969578e-15,1.3179088404848194
DE,0.7666666666666666,0.5306096010027761,5.384131754969578e-15,1.299243838780204
DE,0.8,0.5306096010027761,5.384131754969578e-15,1.263834973881608
DE,0.8333333333333334,0.4998317020983236,5.384131754969578e-15,1.263834973881608
DE,0.8666666666666667,0.4998317020983236,5.384131754969578e-15,1.2601648333202071
DE,0.9,0.4998317020983236,5.384131754969578e-15,1.1453228896166243
DE,0.9333333333333333,0.4983601172261858,5.384131754969578e-15,1.1373817974867702
DE,0.9666666666666667,0.45698295691328783,5.384131754969578e-15,1.1269928543443277
DE,1.0,0.45222276845464127,5.384131754969578e-15,1.1214599529701275
PSO,0.0,39.27904393470699,11.248480591874682,59.37302303304919
PSO,0.03333333333333333,15.926326245352628,2.4715028116809368,28.79755217232106
PSO,0.06666666666666667,10.466494736348434,1.8843921744673824,20.32582246710531
PSO,0.1,9.157088172606821,1.5801749253390078,17.714871191128438
PSO,0.13333333333333333,8.305608597523342,1.3763564777053185,15.40260420357792
PSO,0.16666666666666666,7.89270902319374,1.320047867022593,13.60463251385467
PSO,0.2,7.16582220214399,1.3043053427937528,12.904159017365846
