config_id,factor,value,total_route_km,delta_total_m,mean_runtime_s
alpha_0.5,alpha,0.5,60.42285481231638,-37.720333917341975,6.735799844945819
alpha_2.0,alpha,2.0,61.05348204350638,592.9068972726554,6.726004924531832
beta_1.0,beta,1.0,60.36381803464133,-96.75711159239597,6.734090227590447
beta_4.0,beta,4.0,60.711718086142,251.14293990827719,6.862984143162418
evaluation_budget_15000,evaluation_budget,15000.0,60.449143890405296,-11.431255828426856,13.37117471400726
evaluation_budget_3750,evaluation_budget,3750.0,60.47317981212994,12.604665896219558,3.3537047611667856
evaporation_0.2,evaporation,0.2,60.39196101919213,-68.61412704159164,6.77000845761504
evaporation_0.8,evaporation,0.8,60.52838964343337,67.81449719964883,6.757522461595169
