method,mean_km,ci95_low_km,ci95_high_km,total_km
Raw,2.655156902405879,2.3342313411101125,3.011435788344835,79.65470707217638
NN+2opt,2.0281936161066905,1.859435006712271,2.1842976454319576,60.84580848320071
Insertion+2opt,2.0253808403549387,1.8585089180437824,2.1788189213918767,60.76142521064816
MultiStart2opt,2.0112061913424677,1.846179737473544,2.160774869266201,60.33618574027402
ILS,2.0120746414405053,1.847581568134104,2.161798773434311,60.36223924321516
ACO,2.0153525048744574,1.8497055147303552,2.1660510543826077,60.46057514623372
ACO×3,2.012123161452131,1.8469842133619927,2.1622981199100684,60.363694843563934
Portfolio,2.011590111024891,1.8464926241027475,2.161721039420913,60.34770333074673
MultiStart2opt-RT,2.011096273075825,1.8461236188892023,2.1606032611633696,60.33288819227475
