method,mean_runtime_s
MultiStart2opt,0.134677840101843
ILS,0.8586605947037849
MultiStart2opt-RT,4.876070331983889
ILS-RT,7.628166229731869
Portfolio,7.306649422164385
ACO×3,18.85816752566801
