method,mean_runtime_s,total_km
NN+2opt,0.0023759436250353,60.84580848320071
Insertion+2opt,0.0027225575254608,60.76142521064816
MultiStart2opt,0.134677840101843,60.33618574027402
ILS,0.8586605947037849,60.36223924321516
ACO,6.2909763558379685,60.46057514623372
ACO×3,18.85816752566801,60.363694843563934
Portfolio,7.306649422164385,60.34770333074673
MultiStart2opt-RT,4.876070331983889,60.33288819227475
ILS-RT,7.628166229731869,60.36223924321516
