task_id,method,gap_pct,reference_km,length_km
30,Portfolio,0.121528585931415,1.92984678853692,1.9321921040496717
1,ILS,0.0,1.7739991125114167,1.7739991125114165
1,Insertion+2opt,1.0189500152367883,1.7739991125114167,1.7920752767386523
1,MultiStart2opt,0.0,1.7739991125114167,1.7739991125114165
1,MultiStart2opt-RT,0.0,1.7739991125114167,1.7739991125114165
2,ILS,0.0,2.279975082456949,2.279975082456949
2,Insertion+2opt,0.0,2.279975082456949,2.279975082456949
2,MultiStart2opt,0.0,2.279975082456949,2.279975082456949
2,MultiStart2opt-RT,0.0,2.279975082456949,2.279975082456949
3,ILS,0.0,2.5554615909469742,2.5554615909469742
3,Insertion+2opt,0.8551358356584523,2.5554615909469742,2.5773142587776494
3,MultiStart2opt,0.0,2.5554615909469742,2.5554615909469742
3,MultiStart2opt-RT,0.0,2.5554615909469742,2.5554615909469742
4,ILS,0.0,2.1335996845890683,2.1335996845890683
4,Insertion+2opt,0.0,2.1335996845890683,2.1335996845890683
4,MultiStart2opt,0.0,2.1335996845890683,2.1335996845890683
4,MultiStart2opt-RT,0.0,2.1335996845890683,2.1335996845890683
5,ILS,0.0,1.865074221023855,1.865074221023855
5,Insertion+2opt,4.471834274358099,1.865074221023855,1.948477249281817
5,MultiStart2opt,0.0,1.865074221023855,1.865074221023855
5,MultiStart2opt-RT,0.0,1.865074221023855,1.865074221023855
6,ILS,0.0,1.756456461232624,1.756456461232624
6,Insertion+2opt,0.0,1.756456461232624,1.756456461232624
6,MultiStart2opt,0.0,1.756456461232624,1.756456461232624
6,MultiStart2opt-RT,0.0,1.756456461232624,1.756456461232624
7,ILS,0.0,1.8418822070973,1.8418822070973
7,Insertion+2opt,1.1602918874210877,1.8418822070973,1.8632534169221024
7,MultiStart2opt,0.0161205938778076,1.8418822070973,1.8421791294476135
7,MultiStart2opt-RT,0.0,1.8418822070973,1.8418822070973
8,ILS,0.0,2.4314289960780373,2.4314289960780373
