method,n_tasks,mean_runtime_s,median_runtime_s,minimum_runtime_s,maximum_runtime_s,mean_evaluations
ACO,30,6.2909763558379685,5.899187072995119,2.124697482096962,22.71481344802305,7500.0
ACO×3,30,18.85816752566801,17.7335868839873,6.363721234956756,68.30219478602521,22500.0
CheapestInsertion,30,0.0009626452617036799,0.0004579084925353527,6.343494169414043e-05,0.01307448698207736,804.8666666666667
DE,30,0.8640501876090032,0.8648307605180889,0.783353214035742,1.0147374430671334,7500.0
ILS,30,0.8586605947037849,0.2624858600320294,0.0102550929877907,14.61949197598733,91550.13333333333
ILS-RT,30,7.628166229731869,2.125610476534348,0.0863382489187643,138.8482518750243,789386.5666666667
Insertion+2opt,30,0.0027225575254608667,0.00106526346644385,0.0001390220131725,0.028043801896274,197.93333333333334
MultiStart2opt,30,0.13467784010184305,0.0319185924599878,0.0011472259648144,2.1733804480172694,14321.1
MultiStart2opt-RT,30,4.876070331983889,1.068149241968058,0.0311937300721183,84.8123809209792,513112.8333333333
NN+2opt,30,0.002375943625035385,0.0010270679485984147,0.00011354009620845318,0.017337235040031374,240.53333333333333
NearestNeighbor,30,0.00032460179645568135,0.0002230310346931219,4.412501584738493e-05,0.002689564018510282,99.33333333333333
PSO,30,0.1468973544038211,0.14334762649377805,0.1018267630133777,0.3033644059905782,7500.0
Portfolio,30,7.306649422164385,6.902385741414037,3.027363870991394,24.06672594102565,22741.533333333333
Raw,30,0.0003309780925822276,0.00023406499531115,6.001000292599201e-05,0.002595736994408,1.0
