method,n_tasks,mean_gap_pct,median_gap_pct,max_gap_pct
ACO,30,0.18080596498366275,0.0,2.6877850031925807
ACO×3,30,0.043362262119227064,0.0,0.7496796464433956
CheapestInsertion,30,3.878164984407376,2.7461559048104114,17.6450111115967
DE,30,5.164044722348503,0.4522227684546506,112.43350370790223
ILS,30,0.0407071148186832,0.0,1.1854762732981374
ILS-RT,30,0.0407071148186832,0.0,1.1854762732981374
Insertion+2opt,30,0.6360783319599422,0.0,4.471834274358099
MultiStart2opt,30,0.004937658969977282,0.0,0.07273536155660305
MultiStart2opt-RT,30,0.0,0.0,0.0
NN+2opt,30,0.720251111060701,0.0,4.331765406945407
NearestNeighbor,30,7.5258430479410405,4.603084176087005,30.46227173062764
PSO,30,12.576516907548166,5.664649790113259,155.14431840120668
Portfolio,30,0.02078008437377983,0.0,0.31089869122896224
Raw,30,30.136763890256837,19.192684459202653,137.13354938420864
