config_id,factor,value,task_id,mean_length_km,sd_length_km,mean_runtime_s,reference_km,gap_pct
beta_1.0,beta,1.0,15,2.112602871122433,0.0,5.2804235530493315,2.112602871122433,0.0
beta_1.0,beta,1.0,16,2.162083571208147,0.0021125019847484327,9.802848154644016,2.159640501700675,0.11312389749814035
beta_1.0,beta,1.0,17,2.0100547196305705,0.0,3.9542344609915743,2.0100547196305705,0.0
beta_1.0,beta,1.0,18,2.7052757751641314,0.0,9.741762023809134,2.7052757751641314,0.0
beta_1.0,beta,1.0,19,1.908463713665149,0.0,3.387846958258888,1.908463713665149,0.0
beta_1.0,beta,1.0,20,2.1697468439523346,0.0,5.791651694092434,2.169746843952334,2.0467328300896403e-14
beta_1.0,beta,1.0,21,2.207342884706021,0.0,3.993414814863354,2.207342884706021,0.0
beta_1.0,beta,1.0,22,0.6495626464756479,0.0,24.802662466687615,0.6495626464756483,0.0
beta_1.0,beta,1.0,23,2.01067302300028,0.0,2.2638860634993763,2.01067302300028,0.0
beta_1.0,beta,1.0,24,1.3508272334785483,0.0,2.273185466346331,1.3508272334785485,0.0
beta_1.0,beta,1.0,25,1.9406169918137253,0.0,3.3489340182393788,1.9406169918137255,0.0
beta_1.0,beta,1.0,26,2.218200980928021,0.0,5.654059004667215,2.218200980928021,0.0
beta_1.0,beta,1.0,27,1.9000621512377234,0.0,2.821704090759158,1.9000621512377236,0.0
beta_1.0,beta,1.0,28,2.025980418950708,0.0,5.658398634358309,2.025980418950708,0.0
beta_1.0,beta,1.0,29,2.5070637535858746,0.008610916341675682,11.531053046387388,2.4908832129936185,0.6495904949638283
beta_1.0,beta,1.0,30,1.930903420871531,0.003906680640751877,6.843554031051463,1.9298467885369197,0.054752135811379755
beta_4.0,beta,4.0,1,1.7739991125114165,0.0,6.413807809795253,1.7739991125114167,0.0
beta_4.0,beta,4.0,2,2.2818482430644775,0.005765466699908434,6.390131394856144,2.279975082456949,0.08215706487063201
beta_4.0,beta,4.0,3,2.557142122487231,0.007515565524691365,9.290434013109188,2.5554615909469742,0.06576234783610463
beta_4.0,beta,4.0,4,2.1346126209858634,0.002014761311640898,6.952773619047366,2.1335996845890683,0.047475466185686904
beta_4.0,beta,4.0,5,1.9009152188881635,0.040482700131036865,6.9847427129046995,1.865074221023855,1.9216928452656037
