task_id,method,seed,length_km,runtime_s,evaluations,valid,selected_method,order,metadata
5,ReferenceExact,20260820,1.865074221023855,0.010370226111263037,0,True,,"[5, 6, 8, 11, 10, 9, 7, 4, 3, 1, 0, 2]","{""certified"": true, ""concorde_nodes"": 13, ""home_duplicate_padding"": 0, ""integer_objective"": 1865074, ""integer_scale_per_km"": 1000000, ""log"": ""exact_logs/task05/task05.concorde.log"", ""nonzero_returncode_with_certificate"": true, ""original_nodes"": 13, ""problem_sha256"": ""8b99ce52d324c137a57030773b456597c0b3d2e354bf831db201f0ec1930cef0"", ""process_returncode"": 255, ""rounding_bound_km_per_tour"": 6.5e-06, ""solution_sha256"": ""13a8ece41073a4ee625e9ba9d18bc53351250b3f68cf88267bf8a40e3d3bd2d4"", ""solver"": ""Concorde 03.12.19 with QSopt""}"
6,CheapestInsertion,0,1.8107954783805313,0.0008045349968597293,286,True,,"[10, 6, 8, 9, 7, 5, 4, 3, 2, 1, 0]",{}
6,HeldKarpCheck,0,1.756456461232624,0.03728690906427801,56331,True,,"[0, 1, 2, 3, 4, 5, 9, 7, 8, 6, 10]",{}
6,NN+2opt,0,1.7564564612326241,0.0008601960726082325,57,True,,"[10, 6, 8, 7, 9, 5, 4, 3, 2, 1, 0]",{}
6,NearestNeighbor,0,1.780281532237733,0.0008058029925450683,66,True,,"[6, 10, 8, 7, 9, 5, 4, 3, 2, 1, 0]",{}
6,ReferenceExact,20260820,1.7564564612326241,0.013020599028095603,0,True,,"[10, 6, 8, 7, 9, 5, 4, 3, 2, 1, 0]","{""certified"": true, ""concorde_nodes"": 12, ""home_duplicate_padding"": 0, ""integer_objective"": 1756457, ""integer_scale_per_km"": 1000000, ""log"": ""exact_logs/task06/task06.concorde.log"", ""nonzero_returncode_with_certificate"": true, ""original_nodes"": 12, ""problem_sha256"": ""f535ac1b38e11d9fff8f7c1f6164d0540aa10239e8fdc9c3e544b707183c6073"", ""process_returncode"": 255, ""rounding_bound_km_per_tour"": 6e-06, ""solution_sha256"": ""32bb2fb5cb0eff762b733737c6b23133ab02e04d781f42fb4e120d7460f015b9"", ""solver"": ""Concorde 03.12.19 with QSopt""}"
7,CheapestInsertion,0,1.8632534169221024,0.00039851199835538864,120,True,,"[0, 1, 2, 3, 6, 7, 5, 4]",{}
7,HeldKarpCheck,0,1.8418822070973002,0.005675924010574818,3592,True,,"[4, 7, 6, 5, 3, 2, 1, 0]",{}
7,NN+2opt,0,1.8478206541035758,0.0009196330793201923,106,True,,"[0, 1, 2, 6, 7, 5, 3, 4]",{}
7,NearestNeighbor,0,1.9799551220787959,0.0006008610362187028,36,True,,"[1, 0, 2, 3, 5, 4, 7, 6]",{}
7,ReferenceExact,20260820,1.8418822070973002,0.014512875000946224,0,True,,"[4, 7, 6, 5, 3, 2, 1, 0]","{""certified"": true, ""concorde_nodes"": 10, ""home_duplicate_padding"": 1, ""integer_objective"": 1841883, ""integer_scale_per_km"": 1000000, ""log"": ""exact_logs/task07/task07.concorde.log"", ""nonzero_returncode_with_certificate"": true, ""original_nodes"": 9, ""problem_sha256"": ""1ae297491a64f6e03b2354caa38fd8e50fb3637a78e3145ce8ebfa1555e8d393"", ""process_returncode"": 255, ""rounding_bound_km_per_tour"": 4.5e-06, ""solution_sha256"": ""502bbcd0eb0c3576683f41219ed2504b37503d316d093ab9f6dac1c30ce237ea"", ""solver"": ""Concorde 03.12.19 with QSopt""}"
8,CheapestInsertion,0,2.5092977523820537,0.0023744769860059023,1330,True,,"[0, 1, 2, 4, 5, 6, 8, 9, 16, 14, 17, 18, 15, 12, 13, 7, 11, 10, 3]",{}
8,NN+2opt,0,2.5367527962245857,0.009592523099854589,888,True,,"[3, 10, 7, 11, 13, 15, 18, 17, 12, 14, 16, 9, 8, 6, 5, 4, 2, 1, 0]",{}
8,NearestNeighbor,0,3.1720975038006007,0.0011966460151597857,190,True,,"[3, 0, 1, 2, 4, 5, 6, 8, 9, 14, 17, 18, 15, 13, 12, 11, 7, 10, 16]",{}
8,ReferenceExact,20260820,2.4314289960780373,0.013908843044191599,0,True,,"[0, 1, 2, 4, 5, 6, 8, 9, 16, 14, 17, 18, 15, 13, 12, 11, 7, 10, 3]","{""certified"": true, ""concorde_nodes"": 20, ""home_duplicate_padding"": 0, ""integer_objective"": 2431429, ""integer_scale_per_km"": 1000000, ""log"": ""exact_logs/task08/task08.concorde.log"", ""nonzero_returncode_with_certificate"": true, ""original_nodes"": 20, ""problem_sha256"": ""634c333599155aa7ac89ff95a91af1db1e5b8a469c1a9843bf05eecc19999468"", ""process_returncode"": 255, ""rounding_bound_km_per_tour"": 1e-05, ""solution_sha256"": ""0114f6e08ef5101c6b332fd3e02fd3ffd94d004be49d909daf6e9ce9683b4153"", ""solver"": ""Concorde 03.12.19 with QSopt""}"
9,CheapestInsertion,0,2.587470410422966,0.0008820210350677371,455,True,,"[0, 2, 3, 5, 8, 10, 6, 12, 9, 11, 7, 4, 1]",{}
9,HeldKarpCheck,0,2.4122006554120246,0.21623938996344805,319501,True,,"[7, 11, 9, 12, 6, 10, 8, 5, 4, 3, 2, 0, 1]",{}
9,NN+2opt,0,2.470378420663633,0.001481320010498166,151,True,,"[1, 0, 2, 3, 4, 5, 8, 10, 12, 9, 11, 7, 6]",{}
9,NearestNeighbor,0,2.523589319395656,0.0006864420138299465,91,True,,"[1, 0, 2, 3, 4, 5, 8, 10, 6, 7, 11, 9, 12]",{}
9,ReferenceExact,20260820,2.4122006554120246,0.021304704016074538,0,True,,"[1, 0, 2, 3, 4, 5, 8, 10, 6, 12, 9, 11, 7]","{""certified"": true, ""concorde_nodes"": 14, ""home_duplicate_padding"": 0, ""integer_objective"": 2412202, ""integer_scale_per_km"": 1000000, ""log"": ""exact_logs/task09/task09.concorde.log"", ""nonzero_returncode_with_certificate"": true, ""original_nodes"": 14, ""problem_sha256"": ""3b43012a567c10a2bf842c01fc1eca7dc7fad52959caaa5aac82beea331e7fb4"", ""process_returncode"": 255, ""rounding_bound_km_per_tour"": 7e-06, ""solution_sha256"": ""1da037dfa2e6992277a9c864f640d14ac212fa4fe54b2589327525e0a1f36ecf"", ""solver"": ""Concorde 03.12.19 with QSopt""}"
10,CheapestInsertion,0,2.488381709809749,0.0006502179894596338,286,True,,"[7, 10, 8, 4, 5, 9, 2, 0, 1, 6, 3]",{}
10,HeldKarpCheck,0,2.2847926646599612,0.050125411013141274,56331,True,,"[3, 7, 10, 8, 6, 2, 4, 9, 5, 0, 1]",{}
10,NN+2opt,0,2.3677967787319165,0.0010959490900859237,115,True,,"[3, 6, 2, 1, 0, 4, 5, 9, 8, 10, 7]",{}
10,NearestNeighbor,0,2.436942079263676,0.0006251379381865263,66,True,,"[3, 7, 10, 8, 6, 2, 1, 0, 4, 5, 9]",{}
10,ReferenceExact,20260820,2.2847926646599612,0.01437923195771873,0,True,,"[3, 7, 10, 8, 6, 2, 4, 9, 5, 0, 1]","{""certified"": true, ""concorde_nodes"": 12, ""home_duplicate_padding"": 0, ""integer_objective"": 2284791, ""integer_scale_per_km"": 1000000, ""log"": ""exact_logs/task10/task10.concorde.log"", ""nonzero_returncode_with_certificate"": true, ""original_nodes"": 12, ""problem_sha256"": ""ca37e0911bf996a0f050ad64910afe846d9a79bebe2d45e65d3661d87df8e745"", ""process_returncode"": 255, ""rounding_bound_km_per_tour"": 6e-06, ""solution_sha256"": ""ad1e47a87430b73ad131e30ed434be239caa6a70245e297821fbdb50ce0e5094"", ""solver"": ""Concorde 03.12.19 with QSopt""}"
11,CheapestInsertion,0,2.7824251038519114,0.0006196559406816959,286,True,,"[7, 10, 8, 9, 6, 5, 4, 3, 2, 1, 0]",{}
11,HeldKarpCheck,0,2.6881673361169907,0.04456582199782133,56331,True,,"[0, 1, 2, 3, 4, 5, 9, 8, 10, 7, 6]",{}
11,NN+2opt,0,2.782425103851911,0.0013721439754590392,176,True,,"[0, 1, 2, 3, 4, 5, 6, 9, 8, 10, 7]",{}
11,NearestNeighbor,0,3.1072031556646302,0.0003277891082689166,66,True,,"[0, 1, 3, 4, 5, 6, 7, 8, 10, 9, 2]",{}
11,ReferenceExact,20260820,2.6881673361169907,0.009344821912236512,0,True,,"[0, 1, 2, 3, 4, 5, 9, 8, 10, 7, 6]","{""certified"": true, ""concorde_nodes"": 12, ""home_duplicate_padding"": 0, ""integer_objective"": 2688169, ""integer_scale_per_km"": 1000000, ""log"": ""exact_logs/task11/task11.concorde.log"", ""nonzero_returncode_with_certificate"": true, ""original_nodes"": 12, ""problem_sha256"": ""1cba66e448d69376e6f663d85bb455b26f60fcac0f756d189df1e8435b1ff966"", ""process_returncode"": 255, ""rounding_bound_km_per_tour"": 6e-06, ""solution_sha256"": ""cc44cc9542ce659d4d6f111192c52d416f103d9bd793480705dd9da6d724da4b"", ""solver"": ""Concorde 03.12.19 with QSopt""}"
12,CheapestInsertion,0,1.428135312838,0.001194607000797987,680,True,,"[0, 2, 11, 5, 8, 9, 12, 13, 14, 10, 6, 7, 3, 4, 1]",{}
12,HeldKarpCheck,0,1.4260236853528467,1.0214594589779153,1720335,True,,"[1, 2, 11, 5, 8, 9, 12, 13, 14, 10, 6, 7, 3, 4, 0]",{}
12,NN+2opt,0,1.4260236853528467,0.0023430970031768084,226,True,,"[0, 4, 3, 7, 6, 10, 14, 13, 12, 9, 8, 5, 11, 2, 1]",{}
12,NearestNeighbor,0,1.7725267319089468,0.0005393729079514742,120,True,,"[1, 0, 2, 5, 8, 9, 12, 13, 14, 10, 6, 3, 4, 7, 11]",{}
12,ReferenceExact,20260820,1.4260236853528467,0.01581583800725639,0,True,,"[1, 2, 11, 5, 8, 9, 12, 13, 14, 10, 6, 7, 3, 4, 0]","{""certified"": true, ""concorde_nodes"": 16, ""home_duplicate_padding"": 0, ""integer_objective"": 1426024, ""integer_scale_per_km"": 1000000, ""log"": ""exact_logs/task12/task12.concorde.log"", ""nonzero_returncode_with_certificate"": true, ""original_nodes"": 16, ""problem_sha256"": ""3f309d02d10d1e5dcc347c71312e232e1af6ed59cf2f4672b138c3bdb48e467e"", ""process_returncode"": 255, ""rounding_bound_km_per_tour"": 8e-06, ""solution_sha256"": ""d5dd6a10f337530e94ddc90e1ef493220292c6fa2e2cbe15d868e643e635960f"", ""solver"": ""Concorde 03.12.19 with QSopt""}"
13,CheapestInsertion,0,2.1100247670775323,0.0005708209937438369,286,True,,"[1, 8, 6, 7, 10, 9, 5, 4, 3, 2, 0]",{}
13,HeldKarpCheck,0,2.026911186852802,0.043462401954457164,56331,True,,"[0, 1, 2, 3, 4, 5, 9, 10, 7, 6, 8]",{}
13,NN+2opt,0,2.080079610501402,0.0006150880362838507,56,True,,"[0, 1, 6, 7, 2, 3, 4, 5, 9, 10, 8]",{}
13,NearestNeighbor,0,2.080079610501402,0.000305882073007524,66,True,,"[0, 1, 6, 7, 2, 3, 4, 5, 9, 10, 8]",{}
13,ReferenceExact,20260820,2.026911186852802,0.014991595991887152,0,True,,"[0, 1, 2, 3, 4, 5, 9, 10, 7, 6, 8]","{""certified"": true, ""concorde_nodes"": 12, ""home_duplicate_padding"": 0, ""integer_objective"": 2026913, ""integer_scale_per_km"": 1000000, ""log"": ""exact_logs/task13/task13.concorde.log"", ""nonzero_returncode_with_certificate"": true, ""original_nodes"": 12, ""problem_sha256"": ""7e87da1f8642b54dd56e4d218d3a516c3a52fa24280a66624ac41611a4dc52b8"", ""process_returncode"": 255, ""rounding_bound_km_per_tour"": 6e-06, ""solution_sha256"": ""6867c127776ea0a3f6ef54ec389b7aefed60c3841999ce8e76799ee9604108e4"", ""solver"": ""Concorde 03.12.19 with QSopt""}"
14,CheapestInsertion,0,1.0951009983883424,0.000153454951941967,35,True,,"[1, 3, 4, 2, 0]",{}
14,HeldKarpCheck,0,1.067134550587395,0.0005093939835205674,165,True,,"[2, 4, 3, 1, 0]",{}
14,NN+2opt,0,1.067134550587395,0.00018251303117722273,18,True,,"[0, 1, 3, 4, 2]",{}
14,NearestNeighbor,0,1.0951009983883422,0.00015603902284055948,15,True,,"[0, 2, 4, 3, 1]",{}
14,ReferenceExact,20260820,1.067134550587395,0.020582699100486934,0,True,,"[2, 4, 3, 1, 0]","{""certified"": true, ""concorde_nodes"": 10, ""home_duplicate_padding"": 4, ""integer_objective"": 1067135, ""integer_scale_per_km"": 1000000, ""log"": ""exact_logs/task14/task14.concorde.log"", ""nonzero_returncode_with_certificate"": true, ""original_nodes"": 6, ""problem_sha256"": ""9ae71243a7e58befcead7295134e6531ce3b331d832b7c768fec22f3e99e5306"", ""process_returncode"": 255, ""rounding_bound_km_per_tour"": 3e-06, ""solution_sha256"": ""d5bebe7f8732d60640deb472154a1f8b0bcba98c668ff05ac870fa3269dbd140"", ""solver"": ""Concorde 03.12.19 with QSopt""}"
15,CheapestInsertion,0,2.112602871122433,0.0004645140143111348,165,True,,"[7, 8, 6, 5, 2, 4, 3, 1, 0]",{}
15,HeldKarpCheck,0,2.112602871122433,0.009821741958148777,9225,True,,"[7, 8, 6, 5, 2, 4, 3, 1, 0]",{}
15,NN+2opt,0,2.1201527161838998,0.0011814129538834095,142,True,,"[5, 6, 7, 8, 1, 3, 4, 2, 0]",{}
15,NearestNeighbor,0,2.20870257823344,0.0003109310055151582,45,True,,"[0, 2, 4, 3, 1, 5, 6, 7, 8]",{}
15,ReferenceExact,20260820,2.112602871122433,0.01447267597541213,0,True,,"[7, 8, 6, 5, 2, 4, 3, 1, 0]","{""certified"": true, ""concorde_nodes"": 10, ""home_duplicate_padding"": 0, ""integer_objective"": 2112602, ""integer_scale_per_km"": 1000000, ""log"": ""exact_logs/task15/task15.concorde.log"", ""nonzero_returncode_with_certificate"": true, ""original_nodes"": 10, ""problem_sha256"": ""37ac614b1afd5a133e8f518da5e66f607ce6cb08217dd27d7dd9b918efbbfd6c"", ""process_returncode"": 255, ""rounding_bound_km_per_tour"": 5e-06, ""solution_sha256"": ""bfdf721acb71fad25ed49a67ea0662b40bcff9358760f3970aa4aa6227458635"", ""solver"": ""Concorde 03.12.19 with QSopt""}"
16,CheapestInsertion,0,2.2570766590637583,0.001588182058185339,969,True,,"[0, 1, 2, 4, 8, 5, 7, 6, 9, 3, 10, 11, 13, 15, 14, 12, 16]",{}
16,HeldKarpCheck,0,2.159640501700675,4.845359865925275,8912913,True,,"[0, 1, 3, 6, 9, 7, 5, 2, 4, 8, 11, 13, 15, 14, 10, 16, 12]",{}
16,NN+2opt,0,2.17124401463147,0.009172825026325881,1017,True,,"[0, 1, 3, 6, 9, 5, 2, 4, 8, 7, 11, 13, 15, 14, 10, 16, 12]",{}
16,NearestNeighbor,0,2.3146727467173256,0.0006341950502246618,153,True,,"[3, 6, 9, 7, 5, 2, 4, 8, 1, 0, 10, 14, 15, 13, 11, 12, 16]",{}
16,ReferenceExact,20260820,2.159640501700675,0.03624723898246884,0,True,,"[0, 1, 3, 6, 9, 7, 5, 2, 4, 8, 11, 13, 15, 14, 10, 16, 12]","{""certified"": true, ""concorde_nodes"": 18, ""home_duplicate_padding"": 0, ""integer_objective"": 2159641, ""integer_scale_per_km"": 1000000, ""log"": ""exact_logs/task16/task16.concorde.log"", ""nonzero_returncode_with_certificate"": true, ""original_nodes"": 18, ""problem_sha256"": ""ea6f6fb91e88a240da6d86ea2c0d7d6b9db5832285c30ab360ee796d84a7c0a3"", ""process_returncode"": 255, ""rounding_bound_km_per_tour"": 9e-06, ""solution_sha256"": ""500b28d6fcf742ea9e58a4e41090648b60f748f16a257fc7317e1f04eb5abe0d"", ""solver"": ""Concorde 03.12.19 with QSopt""}"
17,CheapestInsertion,0,2.185867979443395,0.00023137498646974564,84,True,,"[6, 1, 0, 5, 3, 2, 4]",{}
17,HeldKarpCheck,0,2.0100547196305705,0.0020287439692765474,1351,True,,"[6, 5, 0, 3, 1, 2, 4]",{}
17,NN+2opt,0,2.0100547196305705,0.0002650358946993947,22,True,,"[4, 2, 1, 3, 0, 5, 6]",{}
17,NearestNeighbor,0,2.0100547196305705,0.00017354788724333048,28,True,,"[4, 2, 1, 3, 0, 5, 6]",{}
17,ReferenceExact,20260820,2.0100547196305705,0.012223231955431402,0,True,,"[6, 5, 0, 3, 1, 2, 4]","{""certified"": true, ""concorde_nodes"": 10, ""home_duplicate_padding"": 2, ""integer_objective"": 2010056, ""integer_scale_per_km"": 1000000, ""log"": ""exact_logs/task17/task17.concorde.log"", ""nonzero_returncode_with_certificate"": true, ""original_nodes"": 8, ""problem_sha256"": ""295764a072197f17df41354fddd949717f36b725036dd8190ebe146b510bde44"", ""process_returncode"": 255, ""rounding_bound_km_per_tour"": 4e-06, ""solution_sha256"": ""1ae39423794ebb7ea804649928092781cd9addc24eaabd013067eafd4c0f7d0e"", ""solver"": ""Concorde 03.12.19 with QSopt""}"
18,CheapestInsertion,0,3.1435140305922897,0.0017760939663276076,969,True,,"[7, 6, 4, 3, 2, 9, 11, 8, 13, 14, 16, 15, 12, 10, 5, 1, 0]",{}
18,HeldKarpCheck,0,2.7052757751641314,4.746194284060039,8912913,True,,"[4, 6, 7, 14, 16, 15, 12, 13, 11, 9, 8, 10, 5, 1, 0, 3, 2]",{}
18,NN+2opt,0,2.761131209664624,0.010548894992098212,1206,True,,"[7, 6, 4, 3, 2, 0, 1, 5, 10, 8, 9, 11, 13, 12, 15, 16, 14]",{}
18,NearestNeighbor,0,3.011457479037936,0.0006727480795234442,153,True,,"[6, 7, 4, 2, 3, 0, 1, 5, 10, 12, 13, 16, 15, 11, 9, 8, 14]",{}
18,ReferenceExact,20260820,2.7052757751641314,0.0205910139484331,0,True,,"[4, 6, 7, 14, 16, 15, 12, 13, 11, 9, 8, 10, 5, 1, 0, 3, 2]","{""certified"": true, ""concorde_nodes"": 18, ""home_duplicate_padding"": 0, ""integer_objective"": 2705275, ""integer_scale_per_km"": 1000000, ""log"": ""exact_logs/task18/task18.concorde.log"", ""nonzero_returncode_with_certificate"": true, ""original_nodes"": 18, ""problem_sha256"": ""63bb325f4e18b3c66eef6fb5493ee359035e4ea1c01cbc9d61c334efb90c126f"", ""process_returncode"": 255, ""rounding_bound_km_per_tour"": 9e-06, ""solution_sha256"": ""6327d92277aafdef63fd1414cbb52206f324672fcffb4a068818b9158844f05f"", ""solver"": ""Concorde 03.12.19 with QSopt""}"
19,CheapestInsertion,0,1.9505339477849297,0.00017730100080370903,56,True,,"[3, 5, 4, 2, 1, 0]",{}
19,HeldKarpCheck,0,1.908463713665149,0.0007020430639386177,486,True,,"[2, 3, 4, 5, 1, 0]",{}
19,NN+2opt,0,1.908463713665149,0.0002751059364527464,28,True,,"[0, 1, 5, 4, 3, 2]",{}
19,NearestNeighbor,0,1.9609034837980999,0.00016780092846602201,21,True,,"[0, 1, 2, 3, 4, 5]",{}
