task_id,num_targets,raw_length_km,raw_crossings,portfolio_km,gain_pct
1,11,2.0787263410060044,4,1.7739991125114165,14.659323956375829
2,11,3.437914551215816,5,2.279975082456949,33.6814499461414
3,16,2.7037306147794564,0,2.5554615909469742,5.483868216086184
4,12,2.394872326638416,2,2.1336087341857612,10.9092910526625
5,12,2.560396528702805,2,1.8650742210238547,27.156821214377572
6,11,2.361911911922856,0,1.7564564612326241,25.634124949110596
7,8,1.951858696825776,0,1.8418822070973,5.634449353701992
8,19,4.333774246683905,4,2.4316204748950323,43.89139035667013
9,13,3.310032831312025,5,2.412200655412025,27.124570107182862
10,11,3.5475861051008586,2,2.2862542950705596,35.55464963110287
11,11,2.9001661773245435,0,2.696524813183023,7.021713642953507
12,15,2.214282120842128,6,1.4260236853528467,35.598825825748605
13,11,2.623767278619098,4,2.0287826328270406,22.676730922004666
14,5,1.2934519309581551,0,1.067134550587395,17.497162047847436
15,9,2.43527007006484,1,2.112602871122433,13.249750116372754
16,17,2.436746087549985,0,2.160219242795347,11.348201036106742
17,7,2.626249668019568,0,2.0100547196305705,23.462923418612554
18,17,3.956017119039075,2,2.7052757751641314,31.61617622571743
19,6,1.9609034837981,0,1.908463713665149,2.6742657436346535
20,10,2.3271501377921155,1,2.169746843952334,6.763779065372971
21,7,2.4993160201002165,1,2.207342884706021,11.682121550298712
22,42,0.665613609574188,1,0.6495626464756479,2.411453562196303
23,4,2.01067302300028,0,2.01067302300028,0.0
24,4,1.5541362851202245,1,1.3508272334785485,13.08180328766653
25,6,2.1765993600481863,0,1.9406169918137253,10.841791675857003
26,10,3.5077765792448607,1,2.218200980928021,36.76333338751164
27,5,2.510933271472731,3,1.900062151237724,24.32844899445354
28,10,3.118478690210585,2,2.025980418950708,35.03305232417999
29,20,5.906719773987185,0,2.4908832129936185,57.82967013327248
30,12,2.24965223122239,0,1.932192104049672,14.111520117054724
