task_id,method,length_km,length_sd,runtime_s,evaluations,n_runs
1,ACO,1.7739991125114165,0.0,4.602486063254764,7500.0,20
1,ACO×3,1.7739991125114165,0.0,13.632813595287734,22500.0,20
1,DE,1.7894104579810475,0.01832476328389019,0.7731178276997526,7500.0,20
1,NN+2opt,1.7739991125114165,0.0,0.00115766813978548,109.0,20
1,PSO,1.8449242950704938,0.05265743697881014,0.0835866551904473,7500.0,20
1,Portfolio,1.7739991125114165,0.0,5.4610277036030315,22610.0,20
1,Raw,2.0787263410060044,0.0,0.000666276499396145,1.0,20
2,ACO,2.279975082456949,0.0,4.507020864402875,7500.0,20
2,ACO×3,2.279975082456949,0.0,13.637918467645068,22500.0,20
2,DE,2.2864758998165966,0.01604846151285676,0.7910349826677703,7500.0,20
2,NN+2opt,2.279975082456949,0.0,0.001381907257018565,158.0,20
2,PSO,2.4421492783970504,0.1327883304435501,0.08437070121290158,7500.0,20
2,Portfolio,2.279975082456949,0.0,5.383961517794523,22659.0,20
2,Raw,3.4379145512158162,0.0,0.00014390006544993998,1.0,20
3,ACO,2.558194772231324,0.0069802605299722435,6.534648006688803,7500.0,20
3,ACO×3,2.5554615909469742,0.0,19.76939135408611,22500.0,20
3,DE,2.6727364774706404,0.16429118556051303,0.8022281685029157,7500.0,20
3,NN+2opt,2.5554615909469742,0.0,0.00231011324212881,193.0,20
3,PSO,3.0110392031556685,0.3321505860246337,0.09904296280001287,7500.0,20
3,Portfolio,2.5554615909469742,0.0,7.438486456376268,22694.0,20
3,Raw,2.7037306147794564,0.0,0.000247750215930815,1.0,20
4,ACO,2.133617783782454,2.2742753660146406e-05,4.972943392180605,7500.0,20
4,ACO×3,2.1335996845890683,0.0,14.897185728762997,22500.0,20
4,DE,2.1438956923302688,0.04141076917182851,0.7950151918979828,7500.0,20
4,NN+2opt,2.1385399346185148,0.0,0.001152134255971715,95.0,20
4,PSO,2.2960384098138493,0.10236350466006425,0.09129952649818728,7500.0,20
4,Portfolio,2.1336087341857612,1.856938060434532e-05,5.860582342243288,22596.0,20
4,Raw,2.394872326638416,0.0,0.00016226095031011,1.0,20
5,ACO,1.8650742210238547,0.0,4.919241339556175,7500.0,20
5,ACO×3,1.8650742210238547,0.0,14.853719319490484,22500.0,20
5,DE,1.9058605437307072,0.03285080708819542,0.7812588670058176,7500.0,20
5,NN+2opt,1.8650742210238547,0.0,0.00197193625499488,244.0,20
5,PSO,2.0201840772967796,0.13442939661807063,0.08705196478986177,7500.0,20
5,Portfolio,1.8650742210238547,0.0,5.7896933489304505,22745.0,20
5,Raw,2.560396528702805,0.0,0.00016013060812834,1.0,20
6,ACO,1.7564564612326241,0.0,4.669815426704008,7500.0,20
6,ACO×3,1.7564564612326241,0.0,13.679663117800374,22500.0,20
6,DE,1.7564564612326241,0.0,0.8268049522943329,7500.0,20
6,NN+2opt,1.7564564612326241,0.0,0.000818830099888095,57.0,20
6,PSO,1.849325325702668,0.16317151821450485,0.09074432814377356,7500.0,20
6,Portfolio,1.7564564612326241,0.0,5.588343520037597,22558.0,20
6,Raw,2.361911911922856,0.0,0.00014888514997433,1.0,20
7,ACO,1.8418822070973,0.0,3.2232254551025106,7500.0,20
7,ACO×3,1.8418822070973,0.0,9.585452068666928,22500.0,20
7,DE,1.8418822070973,0.0,0.7511653644032776,7500.0,20
7,NN+2opt,1.847820654103576,0.0,0.0007826513145118401,106.0,20
7,PSO,1.854541692841669,0.03623197816253177,0.07756542419665488,7500.0,20
7,Portfolio,1.8418822070973,0.0,4.052858141303295,22607.0,20
7,Raw,1.951858696825776,0.0,0.00010853085550474061,1.0,20
8,ACO,2.4316204748950323,0.0008563193021044171,7.696291332051624,7500.0,20
8,ACO×3,2.4314289960780373,0.0,23.204828937735876,22500.0,20
8,DE,2.5861410868605184,0.19895336279078304,0.799624973553,7500.0,20
8,NN+2opt,2.5367527962245857,0.0,0.008040999551303635,888.0,20
8,PSO,3.3803861079084982,0.38249400692475616,0.10879126603249456,7500.0,20
8,Portfolio,2.4316204748950323,0.0008563193021044171,8.61308551490074,23389.0,20
8,Raw,4.333774246683905,0.0,0.000329072010936165,1.0,20
9,ACO,2.412200655412025,0.0,5.257877861848101,7500.0,20
9,ACO×3,2.412200655412025,0.0,16.059689376235475,22500.0,20
9,DE,2.441284599997863,0.03026972011138519,0.7802652821934316,7500.0,20
9,NN+2opt,2.470378420663633,0.0,0.0015456131310201651,151.0,20
9,PSO,2.557946163212773,0.10608191754686151,0.08984585553407666,7500.0,20
9,Portfolio,2.412200655412025,0.0,6.129717250354588,22652.0,20
9,Raw,3.310032831312025,0.0,0.00017421890515828499,1.0,20
10,ACO,2.296485707944752,0.014693030638976114,4.694779807009036,7500.0,20
10,ACO×3,2.284792664659961,0.0,13.741849743860076,22500.0,20
10,DE,2.296719105854514,0.018691211904143735,0.7986441311717499,7500.0,20
10,NN+2opt,2.3677967787319165,0.0,0.0011283414438366401,115.0,20
10,PSO,2.428690765258152,0.11968271065440958,0.08553193213883784,7500.0,20
10,Portfolio,2.2862542950705596,0.006536609912160077,5.5802372362581085,22616.0,20
10,Raw,3.5475861051008586,0.0,0.000144249649019865,1.0,20
11,ACO,2.7604194946378646,0.05973081986191583,4.488926876400365,7500.0,20
11,ACO×3,2.7083199794981994,0.038292893958127364,13.494165376527235,22500.0,20
11,DE,2.702845123900083,0.03694746513042241,0.7760455785493832,7500.0,20
11,NN+2opt,2.782425103851911,0.0,0.00145319235161872,176.0,20
11,PSO,2.822885825298517,0.1086724321679695,0.08411638309480618,7500.0,20
11,Portfolio,2.696524813183023,0.02264230040309815,5.35069693888654,22677.0,20
11,Raw,2.9001661773245435,0.0,0.000145754334516765,1.0,20
12,ACO,1.4359045737005327,0.013201787516057153,6.037881218083203,7500.0,20
12,ACO×3,1.4290112374461308,0.005673834161390314,18.118824141082587,22500.0,20
12,DE,1.4863410802056205,0.06442221536898488,0.7855784262006636,7500.0,20
12,NN+2opt,1.4260236853528467,0.0,0.002299113955814345,226.0,20
12,PSO,1.5805537324895127,0.13707504824574118,0.09621863341890272,7500.0,20
12,Portfolio,1.4260236853528467,0.0,6.922208627668442,22727.0,20
12,Raw,2.214282120842128,0.0,0.00022296650568017499,1.0,20
13,ACO,2.0381398626982334,0.01759766859251777,4.5020640398666725,7500.0,20
13,ACO×3,2.026911186852802,0.0,13.430278904241277,22500.0,20
13,DE,2.0354623283484807,0.028334563171025257,0.7755069457110949,7500.0,20
13,NN+2opt,2.080079610501402,0.0,0.000803167087724385,56.0,20
13,PSO,2.1514013649315915,0.0848950090189392,0.08418738456675778,7500.0,20
13,Portfolio,2.0287826328270406,0.008369360829231662,5.362710884673288,22557.0,20
13,Raw,2.623767278619098,0.0,0.00014068278833286502,1.0,20
14,ACO,1.067134550587395,0.0,2.0136967250378803,7500.0,20
14,ACO×3,1.067134550587395,0.0,6.120805155544076,22500.0,20
14,DE,1.067134550587395,0.0,0.7353310211969074,7500.0,20
14,NN+2opt,1.067134550587395,0.0,0.00022777040139766,18.0,20
14,PSO,1.067134550587395,0.0,0.06491984914173367,7500.0,20
14,Portfolio,1.067134550587395,0.0,2.8142446033423765,22519.0,20
14,Raw,1.2934519309581551,0.0,6.008317577652633e-05,1.0,20
15,ACO,2.112602871122433,0.0,3.678555562440306,7500.0,20
15,ACO×3,2.112602871122433,0.0,11.059604108292842,22500.0,20
15,DE,2.1131603475905965,0.0009906616808808353,0.7702055871428456,7500.0,20
15,NN+2opt,2.1201527161839,0.0,0.001151560008292975,142.0,20
15,PSO,2.1377232670080106,0.0352978906179025,0.08164684920920987,7500.0,20
