task_id,num_targets,method,runtime_s,length_km,evaluations,selected_method
1,11,Raw,0.0003068519290536,2.0787263410060044,1,
1,11,NN+2opt,0.0022960379719734,1.7739991125114165,109,
1,11,ACO,5.915361231076531,1.7739991125114165,7500,
1,11,DE,0.86169014708139,1.7739991125114167,7500,
1,11,PSO,0.1446605050005018,1.8319983919768736,7500,
1,11,Portfolio,6.924328729044646,1.7739991125114165,22610,NN+2opt
1,11,ACO×3,17.85906407807488,1.7739991125114165,22500,ACO stream 1
2,11,Raw,0.0002390180015936,3.437914551215816,1,
2,11,NN+2opt,0.0024004250299185,2.279975082456949,158,
2,11,ACO,5.942793747992255,2.279975082456949,7500,
2,11,DE,0.8994145100004971,2.357571922848387,7500,
2,11,PSO,0.1442075920058414,2.279975082456949,7500,
2,11,Portfolio,6.989066126057878,2.279975082456949,22659,NN+2opt
2,11,ACO×3,17.858264404931106,2.279975082456949,22500,ACO stream 1
3,16,Raw,0.0004251600475981,2.7037306147794564,1,
3,16,NN+2opt,0.004006381961517,2.5554615909469742,193,
3,16,ACO,8.672766844043508,2.5554615909469742,7500,
3,16,DE,0.8954696990549564,2.5664198809726244,7500,
3,16,PSO,0.1682925630593672,2.5773142587776494,7500,
3,16,Portfolio,9.740971608203836,2.5554615909469742,22694,NN+2opt
3,16,ACO×3,25.81084211310372,2.5554615909469742,22500,ACO stream 1
4,12,Raw,0.0002584069734439,2.394872326638416,1,
4,12,NN+2opt,0.001959632965736,2.1385399346185148,95,
4,12,ACO,6.442461029975675,2.1335996845890683,7500,
4,12,DE,0.8734896369278431,2.247624440304455,7500,
4,12,PSO,0.1477916009025648,2.2981675949408515,7500,
4,12,Portfolio,7.4659705717349425,2.1335996845890683,22596,ACO
4,12,ACO×3,19.243244922021404,2.1335996845890683,22500,ACO stream 1
5,12,Raw,0.0002644009655341,2.560396528702805,1,
5,12,NN+2opt,0.003464863053523,1.865074221023855,244,
5,12,ACO,6.425848470069468,1.865074221023855,7500,
5,12,DE,0.9012894409243016,1.9095012742420303,7500,
5,12,PSO,0.1460833760211244,1.9095012742420303,7500,
5,12,Portfolio,7.476961035979912,1.865074221023855,22745,NN+2opt
5,12,ACO×3,19.15093519515358,1.865074221023855,22500,ACO stream 1
6,11,Raw,0.0002452140906825,2.361911911922856,1,
6,11,NN+2opt,0.001429236959666,1.756456461232624,57,
6,11,ACO,5.905312375980429,1.756456461232624,7500,
6,11,DE,0.8472904829541221,1.756456461232624,7500,
6,11,PSO,0.1411261119646951,1.756456461232624,7500,
6,11,Portfolio,6.895413860911503,1.756456461232624,22558,NN+2opt
6,11,ACO×3,17.56149448407814,1.756456461232624,22500,ACO stream 1
7,8,Raw,0.0001408150419592,1.951858696825776,1,
7,8,NN+2opt,0.0013571160379797,1.847820654103576,106,
7,8,ACO,4.118146591936238,1.8418822070973,7500,
7,8,DE,0.8011590630048886,1.8418822070973,7500,
7,8,PSO,0.1245610699988901,1.8418822070973,7500,
7,8,Portfolio,5.045374771929346,1.8418822070973,22607,ACO
7,8,ACO×3,12.464571649907157,1.8418822070973,22500,ACO stream 1
8,19,Raw,0.000602834043093,4.333774246683905,1,
8,19,NN+2opt,0.013877119985409,2.5367527962245857,888,
8,19,ACO,10.181000829092229,2.4314289960780373,7500,
8,19,DE,0.948293050052598,2.4703466817297675,7500,
8,19,PSO,0.1863333269720897,2.935846245414446,7500,
8,19,Portfolio,11.330117411212996,2.4314289960780373,23389,ACO
8,19,ACO×3,30.262849813094363,2.4314289960780373,22500,ACO stream 1
9,13,Raw,0.000299033941701,3.310032831312025,1,
9,13,NN+2opt,0.0027238900074735,2.470378420663633,151,
9,13,ACO,7.024493487086147,2.412200655412025,7500,
9,13,DE,0.867724374984391,2.412200655412025,7500,
9,13,PSO,0.1501601899508386,2.743781013724832,7500,
9,13,Portfolio,8.045411437982693,2.412200655412025,22652,ACO
9,13,ACO×3,20.854405077989213,2.412200655412025,22500,ACO stream 1
10,11,Raw,0.0002335340250283,3.5475861051008586,1,
10,11,NN+2opt,0.0019775669788941,2.3677967787319165,115,
10,11,ACO,5.840001117088832,2.284792664659961,7500,
10,11,DE,0.8563075839774683,2.284792664659961,7500,
10,11,PSO,0.143117786035873,2.284792664659961,7500,
10,11,Portfolio,6.841648410074413,2.284792664659961,22616,ACO
10,11,ACO×3,17.689297465025447,2.284792664659961,22500,ACO stream 1
11,11,Raw,0.0002287809038534,2.9001661773245435,1,
11,11,NN+2opt,0.0025643759872764,2.782425103851911,176,
11,11,ACO,5.893061770009808,2.7982154383869875,7500,
11,11,DE,0.8695922429906204,2.688167336116991,7500,
11,11,PSO,0.1439000390237197,2.782425103851911,7500,
11,11,Portfolio,6.90935762191657,2.688167336116991,22677,DE
11,11,ACO×3,17.777876302949153,2.6881673361169907,22500,ACO stream 2
12,15,Raw,0.0004030100535601,2.214282120842128,1,
12,15,NN+2opt,0.0040157249895855,1.4260236853528467,226,
12,15,ACO,8.028578264056705,1.426348466542236,7500,
12,15,DE,0.8784201419912279,1.4260236853528467,7500,
12,15,PSO,0.1635810970328748,1.5387445750141346,7500,
12,15,Portfolio,9.075009208056144,1.4260236853528467,22727,NN+2opt
12,15,ACO×3,24.06589140102733,1.426348466542236,22500,ACO stream 1
13,11,Raw,0.0002253400161862,2.623767278619098,1,
13,11,NN+2opt,0.0014226459898054,2.080079610501402,56,
13,11,ACO,5.9530709139071405,2.026911186852802,7500,
13,11,DE,0.8633377250516787,2.026911186852802,7500,
13,11,PSO,0.1427731100702658,2.261497900664617,7500,
13,11,Portfolio,6.960839988081716,2.026911186852802,22557,ACO
13,11,ACO×3,17.83289585390594,2.026911186852802,22500,ACO stream 1
14,5,Raw,7.49389873817563e-05,1.2934519309581551,1,
14,5,NN+2opt,0.0003698229556903,1.067134550587395,18,
14,5,ACO,2.658205169951543,1.067134550587395,7500,
14,5,DE,0.8266516299918294,1.067134550587395,7500,
14,5,PSO,0.1088047589873895,1.067134550587395,7500,
14,5,Portfolio,3.5941173508763318,1.067134550587395,22519,NN+2opt
14,5,ACO×3,7.983981188968755,1.067134550587395,22500,ACO stream 1
15,9,Raw,0.0001749920193105,2.43527007006484,1,
15,9,NN+2opt,0.001814987976104,2.1201527161839,142,
15,9,ACO,4.87354535900522,2.112602871122433,7500,
15,9,DE,0.8467163030290976,2.1148327769950863,7500,
15,9,PSO,0.1306157619692385,2.206398956648429,7500,
15,9,Portfolio,5.852877298020758,2.112602871122433,22643,ACO
15,9,ACO×3,14.57014197204262,2.112602871122433,22500,ACO stream 1
16,17,Raw,0.0004840079927816,2.436746087549985,1,
16,17,NN+2opt,0.0141090350225567,2.17124401463147,1017,
16,17,ACO,9.054413710953668,2.159640501700675,7500,
16,17,DE,0.9014718800317496,2.1596405017006752,7500,
16,17,PSO,0.1735841600457206,2.2010974702288726,7500,
16,17,Portfolio,10.144073229050264,2.159640501700675,23518,ACO
16,17,ACO×3,27.2021535319509,2.159640501700675,22500,ACO stream 1
17,7,Raw,0.0001235789386555,2.626249668019568,1,
17,7,NN+2opt,0.0005893929628655,2.0100547196305705,22,
17,7,ACO,3.654033737024292,2.0100547196305705,7500,
17,7,DE,0.810409966041334,2.0100547196305705,7500,
17,7,PSO,0.1206575810210779,2.0100547196305705,7500,
17,7,Portfolio,4.5858250190503895,2.0100547196305705,22523,NN+2opt
17,7,ACO×3,11.133544268086553,2.0100547196305705,22500,ACO stream 1
18,17,Raw,0.0004882399225607,3.956017119039075,1,
18,17,NN+2opt,0.0167847849661484,2.761131209664624,1206,
18,17,ACO,9.111987123033032,2.7052757751641314,7500,
18,17,DE,0.8979011439951137,3.5026974280211647,7500,
18,17,PSO,0.1795698620844632,3.2363070430633614,7500,
18,17,Portfolio,10.20674108399544,2.7052757751641314,23707,ACO
18,17,ACO×3,27.353267046972174,2.7052757751641314,22500,ACO stream 1
19,6,Raw,9.598501492291688e-05,1.9609034837981,1,
19,6,NN+2opt,0.0005342729855328,1.908463713665149,28,
19,6,ACO,3.1959133140044287,1.908463713665149,7500,
19,6,DE,0.8473449139855802,1.908463713665149,7500,
19,6,PSO,0.1129888060968369,1.908463713665149,7500,
19,6,Portfolio,4.156888141063973,1.908463713665149,22529,NN+2opt
19,6,ACO×3,9.478931179037318,1.908463713665149,22500,ACO stream 1
20,10,Raw,0.0002009089803323,2.3271501377921155,1,
20,10,NN+2opt,0.0011828340357169,2.1919092213038294,46,
20,10,ACO,5.412625181023032,2.169746843952334,7500,
20,10,DE,0.8867779539432377,2.1769846879087407,7500,
20,10,PSO,0.1338800899684429,2.1769846879087407,7500,
20,10,Portfolio,6.434677002951503,2.169746843952334,22547,ACO
20,10,ACO×3,16.178051122114994,2.169746843952334,22500,ACO stream 1
21,7,Raw,0.0001159089151769,2.4993160201002165,1,
21,7,NN+2opt,0.0006874490063637,2.207342884706021,34,
21,7,ACO,3.605760839069262,2.207342884706021,7500,
21,7,DE,0.8070058519951999,2.207342884706021,7500,
21,7,PSO,0.1176857539685443,2.242375979735251,7500,
21,7,Portfolio,4.531266756937839,2.207342884706021,22535,NN+2opt
21,7,ACO×3,10.950645928038284,2.207342884706021,22500,ACO stream 1
22,42,Raw,0.002595736994408,0.665613609574188,1,
22,42,NN+2opt,0.0312042289879173,0.6495626464756479,867,
22,42,ACO,22.71481344802305,0.6495626464756479,7500,
22,42,DE,1.0147374430671334,1.369778796670158,7500,
22,42,PSO,0.3033644059905782,1.3714834532271163,7500,
22,42,Portfolio,24.06672594102565,0.6495626464756479,23368,NN+2opt
22,42,ACO×3,68.30219478602521,0.6495626464756479,22500,ACO stream 1
23,4,Raw,6.001000292599201e-05,2.01067302300028,1,
23,4,NN+2opt,0.0002139550633728,2.01067302300028,7,
23,4,ACO,2.1418991149403155,2.01067302300028,7500,
23,4,DE,0.783353214035742,2.01067302300028,7500,
23,4,PSO,0.1018267630133777,2.01067302300028,7500,
23,4,Portfolio,3.027363870991394,2.01067302300028,22508,Raw
23,4,ACO×3,6.436859116889536,2.01067302300028,22500,ACO stream 1
24,4,Raw,6.081303581595421e-05,1.5541362851202245,1,
24,4,NN+2opt,0.0002553949598222,1.3508272334785485,12,
24,4,ACO,2.124697482096962,1.3508272334785485,7500,
24,4,DE,0.8042454479727894,1.3508272334785485,7500,
24,4,PSO,0.1204620390199124,1.3508272334785485,7500,
24,4,Portfolio,3.0497332820668817,1.3508272334785485,22513,NN+2opt
24,4,ACO×3,6.363721234956756,1.3508272334785485,22500,ACO stream 1
25,6,Raw,0.0001400439068675,2.1765993600481863,1,
25,6,NN+2opt,0.0008901059627532,1.9406169918137253,55,
25,6,ACO,3.180037729907781,1.9406169918137253,7500,
25,6,DE,0.8384474479826167,1.9406169918137255,7500,
25,6,PSO,0.1435774669516831,1.9406169918137255,7500,
25,6,Portfolio,4.163105405750684,1.9406169918137253,22556,NN+2opt
25,6,ACO×3,9.609802703023888,1.9406169918137253,22500,ACO stream 1
26,10,Raw,0.000234595965594,3.5077765792448607,1,
26,10,NN+2opt,0.0018517350545153,2.218200980928021,87,
26,10,ACO,5.382172883953899,2.218200980928021,7500,
26,10,DE,0.8533538170158863,2.218200980928021,7500,
26,10,PSO,0.1357421559514477,2.2730906861370825,7500,
26,10,Portfolio,6.373365457984619,2.218200980928021,22588,NN+2opt
26,10,ACO×3,16.14505811384879,2.218200980928021,22500,ACO stream 1
27,5,Raw,7.730897050350904e-05,2.510933271472731,1,
27,5,NN+2opt,0.0004320279695093,1.9000621512377236,23,
27,5,ACO,2.667125222971663,1.9000621512377236,7500,
27,5,DE,0.8013385240919888,1.9000621512377236,7500,
27,5,PSO,0.1092579229734838,1.9000621512377236,7500,
27,5,Portfolio,3.5782413518754765,1.9000621512377236,22524,NN+2opt
27,5,ACO×3,7.967750028939918,1.9000621512377236,22500,ACO stream 1
28,10,Raw,0.0001933129969984,3.118478690210585,1,
28,10,NN+2opt,0.0023809740087017,2.025980418950708,183,
28,10,ACO,5.4469676730223,2.025980418950708,7500,
28,10,DE,0.8668942940421402,2.025980418950708,7500,
28,10,PSO,0.1340305439662188,2.025980418950708,7500,
28,10,Portfolio,6.4504778910195455,2.025980418950708,22684,NN+2opt
28,10,ACO×3,16.241285966010764,2.025980418950708,22500,ACO stream 1
29,20,Raw,0.0006732160691171,5.906719773987185,1,
29,20,NN+2opt,0.0109350300626829,2.4908832129936185,614,
29,20,ACO,10.768113115918824,2.508943382149712,7500,
29,20,DE,0.9050539020681754,2.519166071716968,7500,
29,20,PSO,0.1888271810021251,3.491914469104066,7500,
29,20,Portfolio,11.87361246207729,2.4908832129936185,23115,NN+2opt
29,20,ACO×3,32.1797429890139,2.490883212993618,22500,ACO stream 2
30,12,Raw,0.0002633440308272,2.24965223122239,1,
30,12,NN+2opt,0.0037828979548066,1.940785341729279,281,
30,12,ACO,6.394082897924818,1.936145989521061,7500,
30,12,DE,0.8663237959844992,1.9298467885369197,7500,
30,12,PSO,0.1454570110654458,2.1626304763872435,7500,
30,12,Portfolio,7.409920339006931,1.9298467885369197,22782,DE
30,12,ACO×3,19.21626183285844,1.9298467885369197,22500,ACO stream 2
