task_id,num_waypoints,open_length_km,closing_edge_km,length_km
1,13,1.1693621302000112,0.7097251526160625,1.8790872828160738
2,8,1.7532764021918057,0.5878188387993308,2.3410952409911365
3,17,2.0361930193569355,0.4973729571024125,2.533565976459348
4,14,1.8312463075723104,0.5774426297207398,2.40868893729305
5,14,1.9773226913670672,0.4820029153686049,2.459325606735672
6,15,1.4375306830754357,0.4654458664831571,1.9029765495585929
7,11,1.6019868896086025,0.34217809890552836,1.9441649885141308
8,19,2.2908155553989347,0.1420615180617258,2.4328770734606606
9,19,2.7465345373637495,0.6989607749484031,3.445495312312153
10,11,1.760429943512979,0.8684111439578766,2.628841087470856
11,16,3.4805840869537144,0.07324531308049152,3.5538294000342057
12,17,1.8102477642273391,0.17217412723291273,1.9824218914602518
13,14,1.766555450232914,0.8371087271291525,2.6036641773620666
14,23,3.057620869980431,0.6532985679395296,3.7109194379199604
15,15,2.1338793154969133,0.6380513203343979,2.7719306358313114
16,21,2.1018455727628282,0.4346758070629757,2.536521379825804
17,16,1.9918592687724879,0.6094121992881013,2.601271468060589
18,22,2.858758245477181,0.5496499829270435,3.4084082284042245
19,10,1.5360266835059044,0.6322113887607151,2.1682380722666195
20,15,1.7317384299921401,0.6704231236955855,2.4021615536877254
21,17,2.553856742467788,0.8274110606405927,3.3812678031083805
22,2,0.5937543144822497,0.538927681394861,1.1326819958771108
23,5,1.404925508729235,0.6397521226163888,2.044677631345624
24,2,0.625322836717146,0.6246195657437894,1.2499424024609354
25,10,1.3255279013025356,0.6508548374999179,1.9763827388024535
26,12,2.2292941123750754,0.7354460293632419,2.964740141738317
27,7,1.9220414679868911,0.7798134077575014,2.7018548757443925
28,16,2.1547554424478794,0.8270010002737959,2.981756442721675
29,26,2.925883364666208,0.8286819673562273,3.7545653320224357
30,18,2.238538515824736,0.20697653831219376,2.44551505413693
