task_id,seed,method,knn_vlm_to_human_m,sequence_rmse_m,dtw_rmse_m,vlm_targets,human_targets
1,0,Raw,11.249058101103927,216.10040110712853,126.61725191376506,11,13
1,0,ACO,11.249058101103927,25.103472565140763,13.016381856564719,11,13
1,0,DE,11.249058101103927,211.6392525342704,120.41945049073291,11,13
1,0,PSO,11.249058101103927,247.97188941735985,132.64271966687514,11,13
1,0,Portfolio,11.249058101103927,25.103472565140763,13.016381856564719,11,13
2,0,Raw,35.80824639881754,203.11935110575362,135.59906374914019,11,8
2,0,ACO,35.80824639881754,196.44467600139453,171.13991673410013,11,8
2,0,DE,35.80824639881754,196.44467600139453,171.13991673410013,11,8
2,0,PSO,35.80824639881754,165.37320324050364,143.2947668463672,11,8
2,0,Portfolio,35.80824639881754,196.44467600139453,171.13991673410013,11,8
3,0,Raw,16.416112858968525,424.5313776333496,407.46347522929165,16,17
3,0,ACO,16.416112858968525,418.31322244684054,393.44841123076935,16,17
3,0,DE,16.416112858968525,392.6552043991336,281.22451420016165,16,17
3,0,PSO,16.416112858968525,233.1407908023812,134.3029035268718,16,17
3,0,Portfolio,16.416112858968525,418.31322244684054,393.44841123076935,16,17
4,0,Raw,22.519375827306447,91.34516036278778,67.56664573236974,12,14
4,0,ACO,22.519375827306447,94.73048303454054,55.50062220018249,12,14
4,0,DE,22.519375827306447,94.72856354854748,51.92243241984454,12,14
4,0,PSO,22.519375827306447,183.09048502789176,151.77461517287767,12,14
4,0,Portfolio,22.519375827306447,94.73048303454054,55.50062220018249,12,14
5,0,Raw,19.711684483595015,263.8087722579021,153.86672293787979,12,14
5,0,ACO,19.711684483595015,252.0319600637971,171.76094376220308,12,14
5,0,DE,19.711684483595015,252.0319600637971,171.76094376220308,12,14
5,0,PSO,19.711684483595015,257.46734051092017,146.31060679592233,12,14
5,0,Portfolio,19.711684483595015,252.0319600637971,171.76094376220308,12,14
6,0,Raw,11.294523186301026,318.1068244608143,273.79025020664596,11,15
6,0,ACO,11.294523186301026,336.36105355368915,302.6250188760983,11,15
6,0,DE,11.294523186301026,33.81757821330679,20.08883695234658,11,15
6,0,PSO,11.294523186301026,302.4907191217779,212.08487409977138,11,15
