subset,n_solvers,mean_km,median_km,ci95_low_km,ci95_high_km,total_km,improvement_vs_raw_pct,mean_exact_gap_pct,max_exact_gap_pct,n_exact_tasks
ACO only,1,2.0153525048744574,2.0326056739786176,1.8497055147303552,2.1660510543826073,60.460575146233715,24.09667002924328,0.1808059649836624,2.6877850031925807,30
ACO + DE,2,2.0124249325508887,2.027381763662977,1.8472775977968987,2.1624141021146923,60.37274797652667,24.206929890757156,0.06191080974299925,0.5164901439865706,30
Original four (Raw+ACO+DE+PSO),4,2.0122707020809663,2.027381763662977,1.8471221855428148,2.1622518129412556,60.36812106242898,24.212738604727416,0.055065289083634394,0.49943830767557873,30
Five candidates (add NN+2-opt),5,2.011590111024891,2.0273815258888743,1.8464926241027473,2.161721039420913,60.34770333074673,24.238371404636847,0.02079422260342376,0.31089869122896224,30
drop Raw,4,2.011590111024891,2.0273815258888743,1.8464926241027473,2.161721039420913,60.34770333074673,24.238371404636847,0.02079422260342376,0.31089869122896224,30
drop NN+2-opt,4,2.0122707020809663,2.027381763662977,1.8471221855428148,2.1622518129412556,60.36812106242898,24.212738604727416,0.055065289083634394,0.49943830767557873,30
drop ACO,4,2.0169911930231503,2.0291042240841852,1.850897920904862,2.169082656781549,60.509735790694506,24.034952842315157,0.2386232547940972,2.5743246625562333,30
drop DE,4,2.0132600058521772,2.0301886948502323,1.8480894565787713,2.1637361695023944,60.39780017556532,24.17547889437604,0.08795392319824921,1.5661856254176874,30
drop PSO,4,2.0116388320385776,2.0273815258888743,1.8464950601534316,2.1617699033384805,60.349164961157335,24.236536446648397,0.02292662675721058,0.31089869122896224,30
